body_0_w,body_0_x,body_0_y,body_0_z
0.606970,-0.349166,0.026568,-0.713418
0.619911,-0.344892,0.020612,-0.704511
0.629117,-0.342648,0.016478,-0.697519
0.636465,-0.341424,0.013254,-0.691496
0.645077,-0.337727,0.010316,-0.685354
0.654361,-0.334505,0.007874,-0.678127
0.665044,-0.332266,0.006426,-0.668786
0.673355,-0.330308,0.005493,-0.661408
0.680472,-0.328488,0.004816,-0.655004
0.692723,-0.325223,0.003699,-0.643702
0.702156,-0.322033,0.003369,-0.635027
0.706274,-0.319143,0.004616,-0.631904
0.714134,-0.312520,0.004523,-0.626357
0.723747,-0.303978,0.003759,-0.619495
0.728826,-0.294264,0.007199,-0.618199
0.733372,-0.285558,0.010260,-0.616861
0.736985,-0.278922,0.012566,-0.615547
0.742045,-0.269834,0.016442,-0.613424
0.747739,-0.259488,0.021100,-0.610825
0.751486,-0.252979,0.024140,-0.608842
0.756183,-0.245882,0.027506,-0.605783
0.762790,-0.237612,0.031522,-0.600582
0.767727,-0.230213,0.034325,-0.597008
0.771819,-0.223246,0.036521,-0.594241
0.775085,-0.219629,0.037960,-0.591240
0.777972,-0.216114,0.039001,-0.588671
0.780134,-0.212812,0.039247,-0.586994
0.781717,-0.210151,0.039102,-0.585855
0.783010,-0.207811,0.038762,-0.584985
0.783704,-0.206817,0.038258,-0.584440
0.784002,-0.206052,0.037034,-0.584390
0.783505,-0.205748,0.034371,-0.585326
0.782816,-0.205711,0.031662,-0.586412
0.782027,-0.205806,0.028929,-0.587571
0.780830,-0.206444,0.026013,-0.589075
0.779493,-0.206854,0.023090,-0.590820
0.777887,-0.206814,0.020155,-0.593055
0.776050,-0.206373,0.017236,-0.595700
0.774090,-0.205728,0.014324,-0.598545
0.772378,-0.205166,0.011799,-0.600999
0.770540,-0.204465,0.008933,-0.603641
0.768458,-0.203488,0.005381,-0.606660
0.766611,-0.202625,0.002259,-0.609300
0.764876,-0.201817,-0.000647,-0.611746
0.763518,-0.201187,-0.002908,-0.613641
0.762282,-0.200614,-0.004953,-0.615350
0.761301,-0.200161,-0.006567,-0.616695
0.760579,-0.199828,-0.007751,-0.617680
0.759987,-0.199555,-0.008720,-0.618484
0.759789,-0.199464,-0.009043,-0.618751
0.759657,-0.199404,-0.009258,-0.618930
0.759657,-0.199404,-0.009258,-0.618930
0.759657,-0.199404,-0.009258,-0.618930
0.759657,-0.199404,-0.009258,-0.618930
0.759657,-0.199404,-0.009258,-0.618930
0.759657,-0.199404,-0.009258,-0.618930
0.759657,-0.199404,-0.009258,-0.618930
0.759657,-0.199404,-0.009258,-0.618930
0.759657,-0.199404,-0.009258,-0.618930
0.759657,-0.199404,-0.009258,-0.618930
0.759657,-0.199404,-0.009258,-0.618930
0.759657,-0.199404,-0.009258,-0.618930
0.759657,-0.199404,-0.009258,-0.618930
0.759657,-0.199404,-0.009258,-0.618930
0.759657,-0.199404,-0.009258,-0.618930
0.759657,-0.199404,-0.009258,-0.618930
0.759657,-0.199404,-0.009258,-0.618930
0.759657,-0.199404,-0.009258,-0.618930
0.759657,-0.199404,-0.009258,-0.618930
0.759657,-0.199404,-0.009258,-0.618930
0.759657,-0.199404,-0.009258,-0.618930
0.759657,-0.199404,-0.009258,-0.618930
0.759657,-0.199404,-0.009258,-0.618930
0.759657,-0.199404,-0.009258,-0.618930
0.759657,-0.199404,-0.009258,-0.618930
0.759657,-0.199404,-0.009258,-0.618930
0.759657,-0.199404,-0.009258,-0.618930
0.759657,-0.199404,-0.009258,-0.618930
0.759657,-0.199404,-0.009258,-0.618930
0.759657,-0.199404,-0.009258,-0.618930
0.759657,-0.199404,-0.009258,-0.618930
0.759657,-0.199404,-0.009258,-0.618930
0.759657,-0.199404,-0.009258,-0.618930
0.759657,-0.199404,-0.009258,-0.618930
0.759657,-0.199404,-0.009258,-0.618930
0.759657,-0.199404,-0.009258,-0.618930
0.759657,-0.199404,-0.009258,-0.618930
0.759657,-0.199404,-0.009258,-0.618930
0.759657,-0.199404,-0.009258,-0.618930
0.759657,-0.199404,-0.009258,-0.618930
