body_0_vel_x,body_0_vel_y,body_0_vel_z
-0.310285,-0.156984,-0.235573
-0.327761,-0.070539,-0.614628
-0.336499,-0.027316,-0.804155
-0.265045,-0.004635,-1.392469
-0.252328,-0.020578,-1.390309
-0.226893,-0.052464,-1.385990
-0.264101,-0.083458,-1.353894
-0.282705,-0.098956,-1.337847
-0.266490,-0.034783,-1.364388
-0.276601,-0.027587,-1.325455
-0.296824,-0.013196,-1.247590
-0.296352,-0.011761,-1.077041
-0.296116,-0.011044,-0.991766
-0.206788,0.048816,-0.709696
-0.161190,0.004411,-0.622245
-0.069995,-0.084400,-0.447342
-0.104737,-0.065613,-0.350879
-0.122108,-0.056219,-0.302648
-0.049639,-0.134711,-0.028720
-0.042708,-0.161655,-0.017827
-0.028846,-0.215542,0.003958
-0.006545,-0.175288,0.060324
0.004606,-0.155160,0.088508
-0.047750,-0.247364,0.082093
-0.029035,-0.239882,0.110147
0.008397,-0.224919,0.166255
-0.010905,-0.247607,0.178954
-0.020556,-0.258951,0.185303
-0.016072,-0.365889,0.170051
-0.021415,-0.373549,0.204636
-0.032101,-0.388870,0.273805
-0.022631,-0.451536,0.266879
-0.017896,-0.482869,0.263416
-0.040412,-0.525928,0.317157
-0.025358,-0.544894,0.337151
0.004749,-0.582826,0.377140
0.031853,-0.561664,0.368133
0.045404,-0.551083,0.363629
-0.009141,-0.599656,0.290101
-0.043375,-0.621171,0.306702
-0.111845,-0.664201,0.339904
-0.109532,-0.657277,0.224869
-0.108376,-0.653815,0.167352
0.061619,-0.716815,-0.065110
0.113375,-0.770955,-0.119931
0.216887,-0.879235,-0.229572
0.217574,-0.796351,-0.272882
0.217917,-0.754910,-0.294537
0.194478,-0.752106,-0.248800
0.186906,-0.728781,-0.228655
0.171762,-0.682132,-0.188364
0.144639,-0.606515,-0.280724
0.131078,-0.568707,-0.326904
0.129969,-0.355439,-0.115880
0.101411,-0.325916,-0.143073
0.044296,-0.266869,-0.197459
0.016720,-0.219781,-0.192564
0.002933,-0.196238,-0.190117
0.009263,-0.148923,-0.068450
0.008383,-0.133972,-0.080576
0.006623,-0.104070,-0.104828
-0.026479,-0.060010,-0.124099
-0.043030,-0.037980,-0.133735
-0.043802,-0.029998,-0.090274
-0.034895,-0.044179,-0.131109
-0.017080,-0.072541,-0.212778
-0.094233,-0.072374,-0.174611
-0.132809,-0.072291,-0.155528
-0.196638,-0.129483,-0.234802
-0.199037,-0.070980,-0.193194
-0.203834,0.046027,-0.109978
-0.238738,0.069444,-0.070160
-0.256190,0.081153,-0.050251
0.030463,0.065567,-0.221298
-0.031004,0.005023,-0.228127
-0.153937,-0.116065,-0.241784
-0.072513,-0.123413,-0.132417
-0.031800,-0.127087,-0.077733
0.060167,-0.074937,-0.020007
0.064051,-0.084269,-0.025055
0.071819,-0.102932,-0.035149
0.118487,-0.151432,0.072700
0.141821,-0.175681,0.126624
0.132673,-0.184321,0.238164
0.191460,-0.242853,0.317255
0.309033,-0.359917,0.475437
0.258327,-0.433602,0.585721
0.232973,-0.470445,0.640864
0.263894,-0.648587,0.746323
0.239649,-0.721962,0.802048
0.191159,-0.868714,0.913500
0.164719,-0.923531,1.043829
0.151498,-0.950940,1.108993
0.222366,-0.862663,1.080986
0.206378,-0.870531,1.085242
0.174401,-0.886266,1.093755
0.211217,-0.732210,1.086906
0.229626,-0.655181,1.083482
0.234747,-0.408032,0.825325
0.231259,-0.411725,0.785320
0.224283,-0.419111,0.705310
0.179207,-0.270042,0.484532
0.156670,-0.195508,0.374143
0.182204,-0.173678,0.276843
0.163662,-0.165207,0.199560
0.126579,-0.148265,0.044993
0.117056,-0.139496,-0.001011
0.112295,-0.135112,-0.024013
0.109656,-0.082262,-0.086024
0.087771,-0.115643,-0.064331
0.044003,-0.182405,-0.020944
0.035830,-0.130076,-0.024996
0.031743,-0.103912,-0.027022
0.076818,-0.161061,0.004751
0.044763,-0.141954,0.011045
-0.019348,-0.103741,0.023634
-0.012438,-0.074530,-0.002009
-0.008984,-0.059924,-0.014831
-0.015657,-0.121093,0.031332
-0.037460,-0.092447,0.020195
0.000000,0.000000,0.000000
0.081067,0.035155,0.002080
