body_0_w,body_0_x,body_0_y,body_0_z
-0.214347,-0.123719,-0.035687,0.968233
-0.221094,-0.124069,-0.038575,0.966559
-0.228575,-0.124452,-0.041753,0.964636
-0.237529,-0.124907,-0.045513,0.962241
-0.247484,-0.126655,-0.048674,0.959344
-0.257920,-0.129039,-0.051532,0.956123
-0.270078,-0.133559,-0.056045,0.951882
-0.284471,-0.138384,-0.061321,0.946660
-0.303335,-0.143824,-0.068124,0.939501
-0.326567,-0.146343,-0.073959,0.930843
-0.351825,-0.147331,-0.079275,0.920993
-0.381278,-0.141107,-0.076917,0.910384
-0.411446,-0.134900,-0.073725,0.898376
-0.443353,-0.128852,-0.068929,0.884355
-0.477865,-0.121857,-0.062043,0.867725
-0.513188,-0.114268,-0.054051,0.848917
-0.550958,-0.104604,-0.044175,0.826772
-0.590670,-0.094335,-0.033906,0.800662
-0.634942,-0.083011,-0.022922,0.767745
-0.682083,-0.075123,-0.008120,0.727360
-0.728746,-0.068752,0.008602,0.681270
-0.780391,-0.062531,0.026089,0.621610
-0.828612,-0.053899,0.042116,0.555628
-0.874183,-0.040818,0.055309,0.480707
-0.913443,-0.031541,0.063801,0.400694
-0.945687,-0.024048,0.069668,0.316615
-0.968102,-0.017243,0.068885,0.240283
-0.983464,-0.010637,0.067174,0.167848
-0.992363,-0.004576,0.064154,0.105252
-0.996870,-0.001251,0.060744,0.050584
-0.998369,0.000704,0.057092,-0.000117
-0.997949,0.000662,0.053968,-0.034415
-0.996606,0.000564,0.051267,-0.064407
-0.995078,0.000358,0.049506,-0.085838
-0.993750,-0.000529,0.048412,-0.100579
-0.992566,-0.001756,0.047655,-0.111978
-0.991855,-0.002072,0.047378,-0.118218
-0.991221,-0.002489,0.047218,-0.123468
-0.990803,-0.003108,0.047292,-0.126743
-0.990844,-0.003757,0.047087,-0.126482
-0.991114,-0.004422,0.046741,-0.124452
-0.991725,-0.004530,0.046647,-0.119519
-0.992511,-0.004589,0.046583,-0.112833
-0.993617,-0.004552,0.046575,-0.102640
-0.994961,-0.003925,0.046983,-0.088487
-0.996240,-0.003003,0.047591,-0.072337
-0.997475,-0.001326,0.049269,-0.051134
-0.998332,0.000267,0.050970,-0.027101
-0.998604,0.001691,0.052727,0.002575
-0.998001,0.002103,0.053561,0.033482
-0.996427,0.002009,0.053906,0.064981
-0.994015,0.001765,0.052924,0.095553
-0.990603,0.001915,0.052455,0.126295
-0.986096,0.002856,0.053060,0.157452
-0.981243,0.006556,0.055431,0.184518
-0.975980,0.011633,0.058672,0.209490
-0.972530,0.015151,0.060461,0.224276
-0.969518,0.017912,0.060860,0.236664
-0.967734,0.019166,0.058503,0.244339
-0.966454,0.019561,0.055964,0.249904
-0.965426,0.019527,0.053334,0.254414
-0.965094,0.021023,0.051588,0.255911
-0.965250,0.022724,0.049190,0.255648
-0.966375,0.024833,0.045489,0.251862
-0.965661,0.024925,0.044950,0.254671
-0.964006,0.024007,0.045992,0.260771
-0.963911,0.022981,0.045080,0.261372
-0.963833,0.022113,0.043750,0.261959
-0.963790,0.021561,0.041584,0.262516
-0.963947,0.021112,0.039930,0.262234
-0.964203,0.020714,0.038533,0.261533
-0.964425,0.020137,0.036930,0.260988
-0.964615,0.019666,0.035433,0.260531
-0.964741,0.019404,0.034148,0.260253
-0.965104,0.019190,0.033326,0.259028
-0.965582,0.018999,0.032736,0.257329
-0.966076,0.018904,0.031563,0.255624
-0.966708,0.018921,0.030614,0.253338
-0.967616,0.019163,0.030114,0.249889
-0.968673,0.019341,0.030006,0.245760
-0.969791,0.019486,0.030093,0.241287
-0.971189,0.020395,0.031741,0.235306
-0.972672,0.021353,0.034016,0.228685
-0.974342,0.022409,0.037544,0.220786
-0.976195,0.024862,0.041729,0.211384
-0.978055,0.028012,0.046238,0.201211
-0.980312,0.031953,0.053080,0.187485
-0.982293,0.036012,0.061022,0.173435
-0.983920,0.040314,0.071173,0.158776
-0.985972,0.043510,0.078388,0.140789
-0.987992,0.046143,0.084115,0.121106
-0.989996,0.047349,0.085798,0.101512
-0.991611,0.047991,0.087485,0.082162
-0.992859,0.047523,0.089214,0.063347
-0.993655,0.044977,0.092919,0.044634
-0.994027,0.041384,0.097593,0.025965
-0.994184,0.040375,0.098962,0.013177
-0.994136,0.039496,0.100636,0.002546
-0.993920,0.038886,0.102940,-0.003769
-0.993814,0.037638,0.104097,-0.008997
-0.993758,0.036070,0.104679,-0.013681
-0.993310,0.036039,0.108411,-0.016816
-0.992954,0.035444,0.111276,-0.020095
-0.992807,0.033720,0.112413,-0.023666
-0.992684,0.032041,0.113318,-0.026666
-0.992569,0.030385,0.114106,-0.029380
-0.992442,0.028721,0.115001,-0.031771
-0.992367,0.027141,0.115437,-0.033829
-0.992412,0.025730,0.114955,-0.035224
-0.992545,0.024188,0.113828,-0.036232
-0.992718,0.022582,0.112377,-0.037046
-0.992712,0.023263,0.112752,-0.035613
-0.992773,0.023272,0.112718,-0.033985
-0.992967,0.021938,0.111866,-0.031965
-0.993123,0.021120,0.111333,-0.029418
-0.993256,0.020560,0.110960,-0.026607
