joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
-0.047727,-0.058939,-0.010204,0.019294,-0.033363,0.003545,0.276090,-0.253132,-0.033431,0.294092,0.280063,-1.418593,-1.389758,-0.234500,-0.174693,0.714351,-0.915275,0.003492,0.121714,-1.065437,1.142749,0.104581,-0.128618,-0.175106,0.197911,-0.334094,-0.282327,0.051527,-0.012450
-0.047724,-0.059026,-0.010393,0.019326,-0.034375,0.004532,0.277059,-0.253089,-0.029838,0.289468,0.276385,-1.413543,-1.388730,-0.230844,-0.174489,0.755484,-0.949147,0.002977,0.119395,-1.069397,1.145968,0.116405,-0.112776,-0.155993,0.189579,-0.345086,-0.294865,0.065993,-0.030238
-0.043031,-0.053009,-0.009373,0.018090,-0.037907,0.006602,0.277738,-0.258457,-0.027630,0.279043,0.269437,-1.391187,-1.366682,-0.225594,-0.177868,0.832588,-1.009875,0.001174,0.116005,-1.070907,1.140572,0.131886,-0.081878,-0.141545,0.193104,-0.359733,-0.308415,0.085109,-0.052307
-0.036480,-0.044750,-0.008527,0.016142,-0.042352,0.009884,0.279035,-0.266103,-0.023172,0.266075,0.260997,-1.357799,-1.332917,-0.221157,-0.181917,0.921977,-1.081027,-0.001171,0.114747,-1.063217,1.124065,0.164442,-0.032964,-0.132735,0.210000,-0.373962,-0.324225,0.106974,-0.078771
-0.026214,-0.032007,-0.008030,0.012769,-0.048619,0.015590,0.281566,-0.278304,-0.014212,0.248023,0.249574,-1.302346,-1.275716,-0.218348,-0.187304,1.035939,-1.173026,-0.004599,0.117754,-1.037128,1.085334,0.231151,0.051982,-0.135199,0.253641,-0.387355,-0.344554,0.134337,-0.114025
-0.015047,-0.019652,-0.006720,0.006954,-0.053459,0.018798,0.270718,-0.286078,-0.007044,0.225676,0.239201,-1.199759,-1.179185,-0.219847,-0.192548,1.154749,-1.264824,-0.009083,0.119596,-0.955476,0.999222,0.343943,0.190036,-0.115558,0.250361,-0.392052,-0.363260,0.181234,-0.164171
-0.003430,-0.007489,-0.005003,-0.000081,-0.057585,0.020756,0.253179,-0.291637,-0.000772,0.201181,0.229354,-1.073605,-1.062987,-0.223500,-0.197720,1.275983,-1.356523,-0.014094,0.120855,-0.846043,0.889419,0.479777,0.354645,-0.084865,0.223621,-0.392403,-0.381153,0.237897,-0.221762
0.004283,0.000012,-0.006599,-0.005815,-0.054526,0.022966,0.238050,-0.289034,-0.004325,0.186124,0.219156,-0.811393,-0.817415,-0.228031,-0.200916,1.338192,-1.399219,-0.020947,0.122442,-0.578868,0.635279,0.675709,0.572170,-0.074352,0.171177,-0.353744,-0.351764,0.297305,-0.295165
0.010408,0.007779,-0.008933,-0.011379,-0.050925,0.024663,0.219609,-0.287505,-0.004486,0.176534,0.210618,-0.565716,-0.583913,-0.233707,-0.203216,1.368387,-1.412759,-0.027365,0.123884,-0.321814,0.386700,0.873914,0.797554,-0.097410,0.155074,-0.308832,-0.314409,0.328042,-0.342110
0.013358,0.016079,-0.012741,-0.016601,-0.046239,0.025334,0.194544,-0.288122,0.002139,0.177877,0.205400,-0.353110,-0.374551,-0.241673,-0.203723,1.334554,-1.367985,-0.032914,0.125037,-0.085000,0.149244,1.076667,1.038654,-0.187609,0.211652,-0.251415,-0.261122,0.301437,-0.336137
0.008917,0.015932,-0.016062,-0.016895,-0.043822,0.022759,0.183183,-0.284481,0.014967,0.190108,0.207046,-0.169102,-0.186794,-0.242035,-0.196627,1.267913,-1.290186,-0.037453,0.124625,0.093508,-0.036929,1.207463,1.182239,-0.257953,0.262027,-0.203188,-0.215465,0.253906,-0.303528
0.000782,0.011561,-0.019141,-0.014727,-0.042539,0.018562,0.178672,-0.278711,0.030895,0.207783,0.212124,0.000607,-0.009841,-0.238596,-0.185729,1.184866,-1.195875,-0.041486,0.123431,0.242862,-0.197459,1.302282,1.277067,-0.318370,0.309300,-0.159555,-0.173624,0.195912,-0.257599
-0.009970,0.002921,-0.022718,-0.015032,-0.040695,0.015430,0.176374,-0.273363,0.038469,0.218454,0.211519,0.102948,0.107709,-0.231961,-0.172840,1.051517,-1.054576,-0.042471,0.113140,0.292289,-0.261420,1.361364,1.313470,-0.371787,0.370719,-0.118906,-0.135293,0.134253,-0.188928
