body_0_angvel_x,body_0_angvel_y,body_0_angvel_z
0.867923,0.035315,2.041890
0.878896,0.097034,1.844386
0.898315,0.224347,1.450787
0.763954,0.116708,1.410942
0.697578,0.062112,1.390793
0.674562,-0.125937,1.139299
0.625979,-0.174414,1.126990
0.530008,-0.272319,1.101693
0.423337,-0.228376,0.906093
0.370044,-0.206483,0.808301
0.282265,-0.168426,0.755867
0.256592,-0.112579,0.734702
0.204481,-0.001160,0.692622
0.181317,-0.207261,0.568695
0.170452,-0.310264,0.506529
0.111572,0.121660,0.408710
0.114636,0.054138,0.370064
0.121224,-0.080793,0.292615
0.101180,-0.036098,0.282941
0.091097,-0.013774,0.278124
-0.229294,-0.129530,0.188597
-0.201790,-0.074763,0.184551
-0.146978,0.034857,0.176280
-0.102272,-0.036770,0.216295
-0.079849,-0.072515,0.236348
-0.035003,-0.140229,0.180766
-0.060837,-0.136364,0.208515
-0.112597,-0.128709,0.263937
-0.083842,-0.303586,0.369974
-0.069302,-0.390927,0.423110
0.033563,-0.132366,0.498656
0.046383,-0.108973,0.586699
0.071557,-0.062121,0.762854
0.543549,0.185890,0.832383
0.778577,0.311668,0.867403
0.209634,-0.016723,0.723645
0.230285,-0.019512,0.803557
0.271611,-0.025127,0.963417
0.234544,-0.174593,1.058221
0.216728,-0.249634,1.105447
0.412984,-0.433105,1.306871
0.469571,-0.467243,1.554448
0.581607,-0.536200,2.050189
0.349463,-0.342400,2.512045
0.230279,-0.249326,2.743258
-0.785907,0.100455,3.100492
-0.860606,0.041842,3.206969
-1.006720,-0.078282,3.423193
-1.249161,-0.138890,3.748968
-1.369875,-0.171730,3.913490
-1.646260,-0.143591,4.282155
-1.714880,-0.165395,4.659832
-1.854347,-0.202715,5.423700
-1.936009,-0.777614,6.078692
-1.963988,-1.061278,6.417352
-2.051080,-1.216266,7.740583
-2.143592,-1.000945,8.023877
-2.378072,-0.578179,8.613864
-1.822005,-0.405910,8.795947
-1.557615,-0.295120,8.905776
-1.204435,0.262034,7.882839
-1.123924,0.305298,7.339009
-0.975336,0.391924,6.267927
-0.646789,0.377333,5.452756
-0.484613,0.376698,5.050324
-0.191653,0.311959,3.424223
-0.161515,0.264545,2.998050
-0.100708,0.170238,2.146661
0.005817,0.110397,1.482568
0.059145,0.081299,1.150634
-0.001340,0.026472,0.628968
0.014722,0.016747,0.530214
0.046916,-0.002504,0.332704
0.062965,0.028862,-0.023293
0.070941,0.044656,-0.201283
0.032301,0.015696,-0.496003
0.035953,0.013839,-0.672098
0.043185,0.010204,-1.024324
0.007243,-0.034302,-1.423210
-0.010974,-0.056283,-1.622713
-0.054406,-0.167039,-2.129767
-0.031907,-0.170462,-2.409712
0.013861,-0.178652,-2.970618
0.121463,-0.091637,-3.088579
0.176657,-0.049773,-3.148232
0.194985,0.077093,-3.060815
0.151636,0.024591,-3.089316
0.061786,-0.077607,-3.148140
-0.259983,-0.209085,-2.764399
-0.423046,-0.269886,-2.573422
-0.298025,-0.138291,-1.533914
-0.207149,-0.013890,-1.288486
-0.022277,0.233570,-0.798182
0.053891,0.237208,-0.577002
0.092248,0.238751,-0.466512
-0.092661,0.201987,-0.164371
-0.103782,0.276293,0.015597
-0.125052,0.425277,0.375443
0.015687,0.044143,-0.291173
0.085353,-0.146574,-0.624538
0.125233,0.059241,-0.057873
0.120904,0.103799,-0.057692
0.112298,0.192920,-0.057216
0.085862,0.148857,0.029552
0.072716,0.126784,0.072936
0.095910,0.141439,0.057322
0.083264,0.133681,0.047706
0.057954,0.118169,0.028495
0.038586,0.077318,0.126753
0.028966,0.056860,0.175881
0.034779,0.115676,0.175427
0.016576,0.098407,0.235187
-0.019632,0.063764,0.354737
-0.024894,0.026017,0.425195
-0.027436,0.007141,0.460431
-0.143247,-0.122028,0.614226
-0.164561,-0.180160,0.679571
-0.206641,-0.296504,0.810405
-0.362585,-0.325542,0.957225
-0.440662,-0.340551,1.030458
-0.580248,-0.541063,1.388808
-0.615060,-0.647060,1.418325
-0.682170,-0.859785,1.478473
-0.548790,-0.572018,1.808631
-0.485723,-0.426122,1.973450
-0.295144,-0.044425,1.957808
-0.239018,-0.054993,1.934487
-0.126392,-0.074078,1.888345
0.066123,-0.287934,1.903291
0.164376,-0.393037,1.911163
-0.027402,-0.084308,1.287026
-0.020216,-0.125065,1.072325
-0.004433,-0.206509,0.642997
0.070295,-0.095250,0.537007
0.107411,-0.039384,0.484092
-0.026276,-0.364175,0.325860
0.027110,-0.275708,0.343150
0.133179,-0.098419,0.378076
0.134671,-0.077097,0.320031
0.135406,-0.066396,0.291025
0.140120,-0.078176,0.259368
0.134295,-0.033179,0.223967
0.122466,0.056883,0.153283
0.137737,0.121440,0.114342
0.145313,0.153754,0.094907
-0.050110,-0.043075,-0.148993
0.017469,0.000227,-0.162040
0.152768,0.086617,-0.188121
0.108347,0.051681,-0.245455
0.086079,0.034298,-0.274129
0.121176,0.089073,-0.268727
0.099699,0.406327,-0.178766
0.058614,1.040756,0.001958
0.227161,0.336696,-0.275427
0.309998,-0.015235,-0.415200
-0.332373,0.337666,0.317341
-0.146253,0.272949,0.266448
0.226052,0.144357,0.163835
-0.025915,0.139558,-0.245026
-0.152188,0.137415,-0.449279
0.085499,0.075782,-0.183271
0.096894,0.065267,-0.162069
0.119678,0.044159,-0.119700
0.147293,0.077954,-0.159359
0.161113,0.094859,-0.179174
0.217480,0.006161,-0.295568
0.230607,0.060690,-0.254784
0.257191,0.169493,-0.172981
0.240869,0.162519,-0.192790
0.232686,0.159071,-0.202691
0.214752,0.421833,0.064462
0.201220,0.381678,0.121019
0.174688,0.301110,0.234073
0.161221,0.359100,0.403017
0.154676,0.387934,0.487561
0.144917,0.074997,0.697398
0.089168,0.033231,0.727185
-0.021697,-0.051164,0.786745
-0.040648,0.073913,0.845941
-0.050631,0.136382,0.875536
-0.335933,0.371878,0.760478
-0.412466,0.481704,0.598300
-0.568423,0.699118,0.273805
-0.401483,0.704036,-0.241526
-0.319835,0.705273,-0.499780
-0.506327,0.224708,-0.698609
-0.468120,0.105994,-0.751174
-0.393623,-0.132489,-0.855307
-0.232242,-0.145451,-0.672821
-0.151735,-0.152266,-0.581460
0.002516,-0.073475,-0.329313
0.025706,-0.070056,-0.292579
0.072056,-0.063373,-0.219077
0.100782,-0.029507,-0.072508
0.115135,-0.012659,0.000797
0.112303,-0.053135,-0.050880
0.085670,-0.022183,-0.031351
0.032413,0.039702,0.007747
0.068674,-0.002030,-0.003339
0.086803,-0.022893,-0.008896
0.040254,-0.001527,-0.075186
0.038720,0.006600,-0.061389
0.000000,0.000000,0.000000
-0.035664,-0.022847,0.033787
