body_0_x,body_0_y,body_0_z
0.241250,-1.787210,0.402365
0.239209,-1.785650,0.399368
0.237032,-1.783866,0.396252
0.234581,-1.781638,0.392901
0.232444,-1.779897,0.390669
0.230465,-1.778398,0.388996
0.229780,-1.775375,0.385937
0.229006,-1.772689,0.383337
0.228053,-1.770679,0.381653
0.227452,-1.768361,0.380518
0.227026,-1.765890,0.379656
0.226701,-1.764849,0.379627
0.226120,-1.763474,0.379264
0.225025,-1.761430,0.378232
0.224117,-1.759922,0.378122
0.223303,-1.758681,0.378473
0.221550,-1.757609,0.378730
0.220123,-1.756941,0.379388
0.219345,-1.757080,0.380848
0.217813,-1.758382,0.382919
0.215906,-1.760266,0.385295
0.212665,-1.765471,0.392497
0.209506,-1.771594,0.400073
0.206512,-1.779552,0.408393
0.202388,-1.788164,0.418161
0.197697,-1.797104,0.428653
0.193219,-1.810792,0.442324
0.189157,-1.826307,0.456306
0.185930,-1.845479,0.470907
0.185202,-1.865865,0.485579
0.185724,-1.886859,0.500286
0.190242,-1.910105,0.515114
0.194753,-1.933150,0.529116
0.199251,-1.955794,0.541463
0.203734,-1.979019,0.555339
0.208208,-2.002534,0.569981
0.211413,-2.023912,0.586799
0.214134,-2.044869,0.603909
0.215887,-2.064986,0.621601
0.215704,-2.085271,0.640270
0.214553,-2.105639,0.659428
0.213256,-2.118224,0.677538
0.211520,-2.131901,0.695208
0.208904,-2.147760,0.711994
0.207687,-2.160884,0.728046
0.207169,-2.172640,0.743730
0.204766,-2.181740,0.757313
0.201275,-2.191179,0.770327
0.195607,-2.201294,0.782206
0.190863,-2.212015,0.792943
0.186581,-2.223040,0.803108
0.186246,-2.232793,0.807010
0.186401,-2.241836,0.810614
0.187537,-2.249462,0.813623
0.188003,-2.256972,0.814219
0.188135,-2.264424,0.813609
0.187582,-2.269041,0.813435
0.186812,-2.274179,0.813186
0.185609,-2.280358,0.812788
0.184116,-2.286201,0.812249
0.182478,-2.291876,0.811639
0.180711,-2.298189,0.811108
0.179050,-2.304302,0.810978
0.177603,-2.310014,0.811650
0.175094,-2.315637,0.813428
0.172053,-2.321215,0.815760
0.168827,-2.327252,0.816732
0.165505,-2.333043,0.818199
0.161995,-2.338344,0.820655
0.157575,-2.344182,0.822399
0.152701,-2.350289,0.823787
0.147432,-2.355156,0.822860
0.141851,-2.359448,0.820671
0.135645,-2.362587,0.815960
0.129090,-2.363998,0.803667
0.122360,-2.364544,0.787584
0.117059,-2.364637,0.759735
0.112013,-2.365049,0.731929
0.107475,-2.366098,0.704209
0.102193,-2.367767,0.677131
0.096539,-2.369746,0.650374
0.091209,-2.370442,0.623086
0.085677,-2.370994,0.596577
0.079740,-2.371257,0.571625
0.073813,-2.371493,0.550084
0.067891,-2.371714,0.530249
0.063755,-2.370737,0.516055
0.060531,-2.370649,0.503610
0.059131,-2.372337,0.494663
0.057037,-2.373649,0.487646
0.054595,-2.374774,0.481593
0.053602,-2.377468,0.481018
0.052748,-2.380701,0.480662
0.052171,-2.385012,0.480741
0.052040,-2.388518,0.481948
0.052132,-2.391621,0.483718
0.051177,-2.396568,0.485360
0.050596,-2.401366,0.487562
0.050764,-2.405864,0.490888
0.050546,-2.410816,0.494467
0.050135,-2.415995,0.498173
0.049813,-2.423313,0.501574
0.049385,-2.430784,0.505666
0.048743,-2.438561,0.511143
0.048291,-2.447592,0.516480
0.047933,-2.457250,0.521748
0.047124,-2.467768,0.528092
0.046617,-2.478666,0.534835
0.046712,-2.490323,0.542377
0.047349,-2.501556,0.549740
0.048257,-2.512577,0.557013
0.048075,-2.524571,0.562815
0.047207,-2.536994,0.568949
0.044970,-2.550278,0.575747
0.042779,-2.563424,0.580244
0.040612,-2.576500,0.583591
0.041844,-2.590836,0.582289
0.044112,-2.606255,0.579890
0.048450,-2.623840,0.575299
0.052801,-2.639767,0.569841
0.057159,-2.654865,0.563951
0.061049,-2.669907,0.558975
0.064787,-2.684483,0.554402
0.068222,-2.698126,0.550634
0.071115,-2.710256,0.545020
0.073737,-2.721630,0.538482
0.076336,-2.728739,0.536164
0.078364,-2.735257,0.533303
0.079250,-2.740595,0.529353
0.079585,-2.744990,0.525502
0.079643,-2.748915,0.521700
0.079829,-2.751893,0.520331
0.079996,-2.754573,0.518719
0.080129,-2.756654,0.516623
0.079599,-2.757854,0.514141
0.078738,-2.758614,0.511466
0.077862,-2.759214,0.509661
0.077165,-2.760098,0.507038
0.076823,-2.761548,0.502783
0.074938,-2.762996,0.499291
0.072282,-2.764442,0.496180
0.068349,-2.767031,0.491484
0.064369,-2.768451,0.487620
0.060292,-2.767530,0.485421
0.055517,-2.766141,0.484017
0.050393,-2.764518,0.483012
0.051003,-2.763207,0.478586
0.050383,-2.763107,0.474024
0.047304,-2.765428,0.469188
0.045854,-2.767896,0.466540
0.045218,-2.770438,0.464985
0.046421,-2.771937,0.464585
0.047702,-2.773622,0.464084
0.049138,-2.775681,0.463381
0.051508,-2.778709,0.464835
0.054344,-2.782223,0.467367
0.056998,-2.785909,0.472131
0.060827,-2.790766,0.478476
0.067008,-2.797965,0.487984
0.072174,-2.806637,0.499699
0.076834,-2.816046,0.512516
0.082112,-2.829017,0.527443
0.086905,-2.843457,0.543484
0.090728,-2.860831,0.561754
0.094022,-2.879302,0.582630
0.097052,-2.898320,0.604810
0.101499,-2.915574,0.626430
0.105627,-2.932984,0.648135
0.109115,-2.950710,0.670010
0.113339,-2.965354,0.691748
0.117932,-2.978457,0.713417
0.122627,-2.986618,0.729924
0.127252,-2.994853,0.745630
0.131738,-3.003235,0.759737
0.135322,-3.008636,0.769427
0.138455,-3.012546,0.776910
0.142099,-3.016019,0.782447
0.145372,-3.019323,0.786438
0.147904,-3.022289,0.787338
0.150245,-3.025079,0.787318
0.152491,-3.027781,0.786838
0.154684,-3.029426,0.785117
0.156440,-3.031739,0.783830
0.157320,-3.035387,0.783412
0.158036,-3.037989,0.782912
0.158671,-3.040067,0.782371
0.160208,-3.043288,0.782466
0.161103,-3.046127,0.782687
0.160716,-3.048202,0.783160
0.160467,-3.049693,0.783120
0.160287,-3.050891,0.782823
0.159974,-3.053313,0.783450
0.159225,-3.055162,0.783853
0.157604,-3.055865,0.783812
