joint_0_vel,joint_1_vel,joint_2_vel,joint_3_vel,joint_4_vel,joint_5_vel,joint_6_vel,joint_7_vel,joint_8_vel,joint_9_vel,joint_10_vel,joint_11_vel,joint_12_vel,joint_13_vel,joint_14_vel,joint_15_vel,joint_16_vel,joint_17_vel,joint_18_vel,joint_19_vel,joint_20_vel,joint_21_vel,joint_22_vel,joint_23_vel,joint_24_vel,joint_25_vel,joint_26_vel,joint_27_vel,joint_28_vel
-0.238841,-0.303666,-0.095169,0.090956,0.004935,-0.035914,0.201943,0.064837,-0.003044,0.464424,0.390916,-0.315814,-0.463539,-0.195270,-0.146733,-0.326731,0.100540,0.120803,-0.074034,-0.188063,0.148444,0.382186,0.363868,0.678339,-0.671408,-0.173103,-0.225555,0.205322,-0.373987
-0.244129,-0.297201,-0.100698,0.090110,0.011287,-0.024453,0.220034,0.055263,-0.002264,0.435986,0.329625,-0.312835,-0.458883,-0.178781,-0.122564,-0.279459,0.047786,0.108296,-0.068013,-0.192983,0.152997,0.377003,0.354196,0.725553,-0.708664,-0.199665,-0.252146,0.226941,-0.447039
-0.203501,-0.280680,-0.089972,0.042350,0.034305,-0.013495,0.177101,0.079369,-0.080965,0.221973,0.133933,-0.229990,-0.378481,-0.061432,0.001253,0.111605,-0.278297,0.082360,-0.059045,-0.263000,0.246373,0.352027,0.341483,1.089653,-0.761781,-0.308588,-0.357053,0.439889,-0.562141
-0.183114,-0.236918,-0.084876,0.035313,0.022823,-0.005378,0.157900,0.042486,-0.074197,0.158494,0.068367,-0.152940,-0.304558,-0.015798,0.014836,0.326757,-0.448987,0.054134,-0.069619,-0.248736,0.235913,0.387276,0.402593,1.107844,-0.755517,-0.341871,-0.390916,0.492842,-0.617625
-0.142341,-0.149394,-0.074684,0.021238,-0.000141,0.010857,0.119499,-0.031280,-0.060663,0.031534,-0.062765,0.001162,-0.156713,0.075469,0.042004,0.757061,-0.790368,-0.002319,-0.090768,-0.220209,0.214992,0.457772,0.524815,1.144225,-0.742990,-0.408437,-0.458643,0.598747,-0.728593
-0.047356,-0.052692,-0.031199,0.008135,-0.033761,0.036505,0.072137,-0.008989,0.099559,-0.143626,-0.143537,0.168725,-0.017967,0.146997,0.020807,1.623451,-1.392516,-0.017957,-0.107554,-0.205425,0.178952,0.546718,0.703007,1.018534,-0.525404,-0.502519,-0.570802,0.681809,-0.835792
0.000136,-0.004342,-0.009456,0.001584,-0.050571,0.049329,0.048457,0.002156,0.179670,-0.231206,-0.183924,0.252507,0.051405,0.182761,0.010208,2.056646,-1.693590,-0.025777,-0.115947,-0.198033,0.160933,0.591191,0.792103,0.955689,-0.416611,-0.549560,-0.626881,0.723341,-0.889392
0.234670,0.300879,0.051019,-0.061768,-0.176624,0.103495,0.033959,-0.268410,0.110389,-0.521257,-0.347393,1.117816,1.102391,0.262527,-0.168972,3.855178,-3.036422,-0.090162,-0.169533,-0.075499,-0.269787,0.774041,1.544926,0.722392,0.176235,-0.732373,-0.677506,0.955799,-1.103471
0.327546,0.412955,0.042290,-0.097406,-0.222212,0.164102,0.064830,-0.382298,0.222921,-0.648371,-0.421983,1.669419,1.688267,0.221834,-0.202431,4.469486,-3.557595,-0.117242,-0.062901,0.384490,-0.825367,1.627830,2.445706,0.440516,0.844838,-0.711454,-0.790501,1.093244,-1.323212
0.513299,0.637106,0.024832,-0.168682,-0.313386,0.285317,0.126572,-0.610074,0.447986,-0.902599,-0.571163,2.772624,2.860018,0.140449,-0.269349,5.698101,-4.599942,-0.171402,0.150362,1.304469,-1.936526,3.335407,4.247266,-0.123235,2.182045,-0.669615,-1.016489,1.368135,-1.762695
0.558324,0.617780,0.065517,-0.290731,-0.241989,0.160386,-0.542435,-0.388673,0.358399,-1.117370,-0.518633,5.129344,4.826587,-0.074953,-0.262195,5.940502,-4.589926,-0.224163,0.092096,4.082597,-4.305604,5.639618,6.902729,0.982043,-0.163995,-0.234898,-0.935268,2.344835,-2.507264
0.580836,0.608117,0.085859,-0.351755,-0.206291,0.097920,-0.876938,-0.277973,0.313606,-1.224756,-0.492368,6.307704,5.809872,-0.182654,-0.258618,6.061703,-4.584918,-0.250544,0.062964,5.471662,-5.490142,6.791723,8.230460,1.534683,-1.337015,-0.017540,-0.894657,2.833184,-2.879549
0.385670,0.375068,-0.079823,-0.286711,0.152922,0.110508,-0.756464,0.130134,-0.177687,-0.752849,-0.509889,13.110623,12.278604,-0.226542,-0.159789,3.110415,-2.134817,-0.342661,0.079350,13.358738,-12.707030,9.796571,10.876252,0.525645,-2.622192,1.932988,1.469433,2.970406,-3.670167
0.306268,0.388372,-0.116678,-0.278173,0.180054,0.084853,-0.922050,0.076472,-0.008034,-0.479517,-0.426890,12.283840,11.675108,-0.283789,-0.114990,1.509742,-0.676981,-0.320927,0.072106,12.852721,-12.428955,9.910257,11.269172,-1.152892,-0.805157,2.245596,1.867746,1.536843,-2.347240
0.147464,0.414980,-0.190388,-0.261098,0.234318,0.033542,-1.253222,-0.030852,0.331272,0.067148,-0.260893,10.630274,10.468116,-0.398283,-0.025390,-1.691605,2.238690,-0.277459,0.057617,11.840689,-11.872806,10.137629,12.055013,-4.509965,2.828913,2.870810,2.664373,-1.330282,0.298614
-0.222025,-0.007362,-0.166083,-0.014738,0.120864,-0.128742,-0.568081,0.182054,0.641370,0.611563,0.082291,9.200400,9.387822,-0.018135,0.354808,-3.332096,3.889939,-0.226927,-0.020583,8.925376,-9.308619,6.539839,7.179255,-3.517216,2.518745,2.411365,2.282824,-2.376549,1.630492
-0.406769,-0.218533,-0.153931,0.108442,0.064137,-0.209884,-0.225510,0.288506,0.796418,0.883770,0.253882,8.485463,8.847675,0.171939,0.544907,-4.152342,4.715563,-0.201661,-0.059683,7.467720,-8.026526,4.740944,4.741377,-3.020842,2.363661,2.181642,2.092049,-2.899683,2.296430
-0.537595,-0.432004,-0.178840,-0.015290,0.092188,-0.156578,-0.114920,0.267369,0.378673,0.533548,-0.030228,5.117074,5.877479,0.331797,0.644447,-6.667428,7.064949,-0.049245,-0.514566,2.471340,-3.198039,2.954078,1.820140,-2.670822,3.070915,2.032467,1.916574,-3.082931,3.433555
-0.537931,-0.543407,-0.232006,-0.015733,0.154254,-0.083710,-0.139039,0.397289,0.201896,0.316920,-0.024150,4.266093,4.871374,0.279795,0.550445,-6.916241,7.038771,-0.010318,-0.529074,0.888159,-1.611589,2.140309,1.132036,-1.924447,2.283810,1.775452,1.812733,-3.226027,3.588080
-0.538603,-0.766212,-0.338340,-0.016617,0.278386,0.062027,-0.187276,0.657130,-0.151659,-0.116336,-0.011994,2.564129,2.859163,0.175791,0.362442,-7.413867,6.986414,0.067535,-0.558088,-2.278204,1.561311,0.512770,-0.244170,-0.431697,0.709602,1.261422,1.605050,-3.512217,3.897132
-0.405330,-0.599036,-0.341473,0.061255,0.261949,0.131749,-0.188271,0.419147,-0.126463,-0.320970,-0.169370,1.777574,2.014537,-0.074445,0.301480,-6.847121,6.143048,0.158227,-0.207461,-3.559407,2.865236,-1.245166,-1.757973,1.137073,-0.122847,0.568962,1.080173,-3.609212,4.158015
-0.338693,-0.515448,-0.343039,0.100191,0.253731,0.166609,-0.188768,0.300156,-0.113865,-0.423287,-0.248058,1.384297,1.592224,-0.199562,0.270999,-6.563747,5.721365,0.203573,-0.032147,-4.200009,3.517199,-2.124134,-2.514875,1.921458,-0.539071,0.222732,0.817734,-3.657709,4.288456
-0.165519,-0.373946,-0.206999,0.031014,0.148070,0.218321,-0.046822,-0.002874,0.007316,-0.580621,-0.329422,1.085995,0.913061,0.063653,0.197015,-4.191636,3.844719,0.253649,0.015402,-4.063256,3.678738,-3.521873,-4.012907,1.368059,-0.082385,0.141146,0.477759,-4.433163,4.524235
-0.162268,-0.332891,-0.151161,0.007752,0.112082,0.200111,0.007226,-0.036237,-0.057162,-0.474310,-0.304819,0.865544,0.780259,0.141626,0.213460,-3.429511,3.147517,0.214393,0.034331,-3.594067,3.303359,-3.165311,-3.590757,1.067814,-0.018927,0.249152,0.525914,-3.963131,4.015749
-0.155765,-0.250779,-0.039484,-0.038771,0.040106,0.163693,0.115321,-0.102962,-0.186118,-0.261689,-0.255615,0.424641,0.514657,0.297571,0.246349,-1.905262,1.753114,0.135880,0.072188,-2.655688,2.552602,-2.452186,-2.746457,0.467325,0.107988,0.465165,0.622224,-3.023069,2.998776
-0.096526,-0.221793,-0.013587,-0.057108,-0.012125,0.109448,0.099908,-0.135364,-0.203942,-0.259351,-0.089590,0.253715,0.343708,0.313111,0.158604,-1.015493,0.942803,0.134031,0.030798,-2.123632,1.973267,-2.143508,-2.352545,0.156845,0.306794,0.270051,0.449003,-2.047028,2.246928
-0.066906,-0.207299,-0.000639,-0.066277,-0.038240,0.082326,0.092202,-0.151564,-0.212855,-0.258182,-0.006578,0.168252,0.258233,0.320882,0.114732,-0.570609,0.537648,0.133106,0.010103,-1.857605,1.683599,-1.989169,-2.155589,0.001605,0.406197,0.172494,0.362392,-1.559007,1.871004
-0.073912,-0.103894,0.106660,-0.014287,-0.075658,0.026959,0.096592,-0.108283,-0.108895,0.035363,0.107431,-0.033008,-0.089174,0.120188,0.018203,0.215111,-0.194341,0.110598,-0.038229,-1.338413,1.248145,-1.442821,-1.486883,0.107083,0.207184,0.152145,0.187959,-0.718278,0.781563
-0.049672,-0.099781,0.106985,-0.017915,-0.083939,0.018180,0.055028,-0.132690,-0.119098,-0.029499,0.120537,-0.067027,-0.133056,0.163927,-0.001566,0.311673,-0.294672,0.102723,-0.030017,-1.169934,1.091561,-1.375890,-1.451339,0.087730,0.145521,0.090458,0.112171,-0.521072,0.598771
-0.001192,-0.091554,0.107635,-0.025171,-0.100501,0.000621,-0.028099,-0.181502,-0.139504,-0.159223,0.146748,-0.135064,-0.220822,0.251405,-0.041104,0.504797,-0.495332,0.086972,-0.013593,-0.832974,0.778394,-1.242029,-1.380250,0.049025,0.022194,-0.032916,-0.039403,-0.126659,0.233187
0.061337,-0.008448,0.113082,0.003882,-0.118726,-0.034752,0.068552,-0.154889,-0.101036,-0.019113,0.156855,-0.278576,-0.349481,0.027287,-0.023432,0.481207,-0.489144,0.094243,0.044123,-0.657767,0.626154,-0.919926,-0.938473,0.093673,-0.201626,-0.053013,-0.059375,0.140545,-0.144533
0.092601,0.033105,0.115806,0.018408,-0.127839,-0.052438,0.116878,-0.141582,-0.081802,0.050942,0.161908,-0.350332,-0.413810,-0.084771,-0.014596,0.469413,-0.486049,0.097878,0.072980,-0.570164,0.550035,-0.758874,-0.717584,0.115997,-0.313537,-0.063062,-0.069361,0.274148,-0.333392
0.041164,0.042959,0.108876,0.001816,-0.106079,-0.067947,0.169693,-0.029467,-0.039478,0.048125,0.027758,-0.430272,-0.444904,0.050236,0.055475,0.366681,-0.407979,0.079802,-0.023698,-0.356726,0.391313,-0.577172,-0.737640,-0.039169,-0.140133,-0.152665,-0.164860,0.329540,-0.302986
0.074479,0.066236,0.109334,-0.015183,-0.096847,-0.065777,0.095170,-0.041288,-0.041874,-0.032890,0.001191,-0.455632,-0.454956,0.049843,0.033256,0.341389,-0.364141,0.054373,0.003668,-0.283841,0.339413,-0.504845,-0.614838,0.002650,-0.148904,-0.182494,-0.175107,0.405687,-0.414600
0.141109,0.112788,0.110249,-0.049180,-0.078381,-0.061436,-0.053875,-0.064930,-0.046666,-0.194919,-0.051942,-0.506351,-0.475060,0.049057,-0.011183,0.290805,-0.276466,0.003515,0.058398,-0.138071,0.235611,-0.360190,-0.369235,0.086288,-0.166447,-0.242152,-0.195602,0.557983,-0.637829
0.164127,0.146421,0.090743,-0.002618,-0.065581,-0.061970,0.078512,-0.058683,-0.042517,-0.133681,-0.091782,-0.496938,-0.509902,0.041375,0.106914,0.267553,-0.251261,0.022829,0.065157,-0.118721,0.201983,-0.243898,-0.227392,0.209545,-0.322457,-0.228266,-0.203691,0.590259,-0.669717
0.175637,0.163237,0.080991,0.020663,-0.059181,-0.062237,0.144706,-0.055560,-0.040442,-0.103062,-0.111702,-0.492232,-0.527322,0.037534,0.165962,0.255927,-0.238658,0.032486,0.068536,-0.109045,0.185169,-0.185752,-0.156471,0.271174,-0.400462,-0.221323,-0.207736,0.606396,-0.685661
0.225136,0.184383,0.081284,0.025260,-0.040690,-0.066179,0.111975,-0.081142,-0.001013,-0.250070,-0.164398,-0.419244,-0.467936,0.165193,0.085254,0.190510,-0.175741,-0.032019,0.072190,-0.064070,0.215097,-0.096749,-0.212370,0.255937,-0.414817,-0.138557,-0.163579,0.485096,-0.524360
